,full_date_time,config_name,latitude,longitude,elevation,year,month,day,hour,prod,peakpower
136,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,16,0.0,136.8
137,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,17,0.0,136.8
138,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,18,0.0,136.8
139,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,19,0.0,136.8
140,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,20,0.0,136.8
141,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,21,0.0,136.8
142,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,22,0.0,136.8
143,2020-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,06,23,0.0,136.8
144,2020-01-07,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,07,00,0.0,136.8
145,2020-01-07,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,07,01,0.0,136.8
146,2020-01-07,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,07,02,0.0,136.8
147,2020-01-07,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,07,03,0.0,136.8
148,2020-01-07,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,07,04,0.0,136.8
149,2020-01-07,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,07,05,0.0,136.8
150,2020-01-07,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,07,06,0.0,136.8
151,2020-01-07,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,07,07,19.07813,136.8
152,2020-01-07,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,07,08,54.978550000000006,136.8
153,2020-01-07,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,07,09,58.19609,136.8
154,2020-01-07,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,07,10,69.71054,136.8
155,2020-01-07,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,07,11,76.6422,136.8
156,2020-01-07,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,07,12,80.47807,136.8
157,2020-01-07,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,07,13,72.39456,136.8
158,2020-01-07,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,07,14,43.80883,136.8
159,2020-01-07,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,07,15,26.331259999999997,136.8
160,2020-01-07,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,07,16,0.0,136.8
161,2020-01-07,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,07,17,0.0,136.8
162,2020-01-07,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,07,18,0.0,136.8
163,2020-01-07,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2020,01,07,19,0.0,136.8
